os,variant,status,base_image,size_mb,compressed_mb,os_pretty_name,libc,libc_version,trivy_os,vuln_critical,vuln_high,vuln_medium,vuln_low,fixable_critical,fixable_high,fixable_medium,fixable_low,base_digest,built_at
alpine,base,ok,alpine:3.24,10.0,3.8,Alpine Linux v3.24,musl,1.2.6,alpine 3.24.1,0,2,6,12,0,2,6,12,alpine@sha256:28bd5fe8b56d1bd048e5babf5b10710ebe0bae67db86916198a6eec434943f8b,2026-09-15T20:37:20+00:00
alpine,updated,ok,alpine:3.24,16.6,6.6,Alpine Linux v3.24,musl,1.2.6,alpine 3.24.1,0,0,0,0,0,0,0,0,alpine@sha256:28bd5fe8b56d1bd048e5babf5b10710ebe0bae67db86916198a6eec434943f8b,2026-09-15T20:37:21+00:00
debian,base,ok,debian:trixie-slim,86.4,29.8,Debian GNU/Linux 13 (trixie),glibc,2.41,debian 13.6,3,54,66,71,3,11,19,15,debian@sha256:d7e12182ce18b85b93007c1dedf31f2d29e01ccf3182cc4017c709b6259bc132,2026-09-15T20:37:20+00:00
debian,updated,ok,debian:trixie-slim,128.8,44.1,Debian GNU/Linux 13 (trixie),glibc,2.41,debian 13.7,0,43,47,56,0,0,0,0,debian@sha256:d7e12182ce18b85b93007c1dedf31f2d29e01ccf3182cc4017c709b6259bc132,2026-09-15T20:37:24+00:00
ubuntu,base,ok,ubuntu:26.04,113.2,41.6,Ubuntu 26.04.1 LTS,glibc,2.43,ubuntu 26.04,0,8,50,5,0,8,24,1,ubuntu@sha256:513c074113a871b51a8d16ab445c88779d6452d937a164fb5cc479f32668a41d,2026-09-15T20:37:20+00:00
ubuntu,updated,ok,ubuntu:26.04,141.2,51.2,Ubuntu 26.04.1 LTS,glibc,2.43,ubuntu 26.04,0,8,26,4,0,8,0,0,ubuntu@sha256:513c074113a871b51a8d16ab445c88779d6452d937a164fb5cc479f32668a41d,2026-09-15T20:37:27+00:00
al2023,base,ok,amazonlinux:2023,165.3,54.6,Amazon Linux 2023.12.20260831,glibc,2.34,amazon 2023.12.20260831 (Amazon Linux),0,29,30,0,0,29,30,0,amazonlinux@sha256:065856aabb1ddab0441f4024dfbba116cc760286858a53ec74e6a1218af979ee,2026-09-15T20:37:20+00:00
al2023,updated,ok,amazonlinux:2023,181.4,60.4,Amazon Linux 2023.12.20260914,glibc,2.34,amazon 2023.12.20260831 (Amazon Linux),0,0,0,0,0,0,0,0,amazonlinux@sha256:065856aabb1ddab0441f4024dfbba116cc760286858a53ec74e6a1218af979ee,2026-09-15T20:37:32+00:00
ubi9-minimal,base,ok,registry.access.redhat.com/ubi9/ubi-minimal:latest,113.0,40.8,Red Hat Enterprise Linux 9.8 (Plow),glibc,2.34,redhat 9.8,0,6,56,56,0,0,0,0,registry.access.redhat.com/ubi9/ubi-minimal@sha256:e5161a7d7d99cf22e4f34b72e111211a399d956d9b0e8714da18e9c4c8151041,2026-09-15T20:37:20+00:00
ubi9-minimal,updated,ok,registry.access.redhat.com/ubi9/ubi-minimal:latest,113.1,40.8,Red Hat Enterprise Linux 9.8 (Plow),glibc,2.34,redhat 9.8,0,6,56,56,0,0,0,0,registry.access.redhat.com/ubi9/ubi-minimal@sha256:e5161a7d7d99cf22e4f34b72e111211a399d956d9b0e8714da18e9c4c8151041,2026-09-15T20:37:22+00:00
