java,flavor,rank,kind,vendor,os,variant,method,source,size_mb,compressed_mb,os_pretty_name,libc,java_runtime_version,vuln_critical,vuln_high,vuln_medium,vuln_low,candidates,caveat
17,jdk,1,recommended,zulu,alpine,updated,official,azul-zulu:17-jdk-alpine3.23,303.7,153.9,Alpine Linux v3.23,musl,17.0.20.1+1-LTS,0,0,0,0,7/23,Azul pins Alpine 3.23 in the Docker Official Image; community builds have no published end-of-updates dates
17,jdk,2,runner-up,corretto,alpine,updated,official,amazoncorretto:17-alpine3.24-jdk,308.0,155.6,Alpine Linux v3.24,musl,17.0.20.1+10-LTS,0,0,0,0,7/23,no Corretto JRE on Alpine; OS package updates are the user's job
17,jdk,3,runner-up,temurin,alpine,updated,official,eclipse-temurin:17-jdk-alpine-3.24,352.3,173.7,Alpine Linux v3.24,musl,17.0.20+8,0,0,0,0,7/23,official image lags the quarterly release by 2-5 weeks
17,jdk,4,runner-up,microsoft,azurelinux,base,official,mcr.microsoft.com/openjdk/jdk:17-azurelinux,466.7,212.3,Microsoft Azure Linux 3.0,glibc,17.0.20.1+1-LTS,0,0,0,0,7/23,
17,jdk,5,runner-up,microsoft,azurelinux,updated,official,mcr.microsoft.com/openjdk/jdk:17-azurelinux,466.8,212.3,Microsoft Azure Linux 3.0,glibc,17.0.20.1+1-LTS,0,0,0,0,7/23,
17,jdk,4,glibc,microsoft,azurelinux,base,official,mcr.microsoft.com/openjdk/jdk:17-azurelinux,466.7,212.3,Microsoft Azure Linux 3.0,glibc,17.0.20.1+1-LTS,0,0,0,0,7/23,
17,jre,1,recommended,temurin,alpine,updated,official,eclipse-temurin:17-jre-alpine-3.24,199.4,71.5,Alpine Linux v3.24,musl,17.0.20+8,0,0,0,0,3/15,official image lags the quarterly release by 2-5 weeks
17,jre,2,runner-up,zulu,alpine,updated,official,azul-zulu:17-jre-alpine3.23,213.9,72.9,Alpine Linux v3.23,musl,17.0.20.1+1-LTS,0,0,0,0,3/15,Azul pins Alpine 3.23 in the Docker Official Image; community builds have no published end-of-updates dates
17,jre,3,runner-up,corretto,al2023,updated,official,amazoncorretto:17-al2023-headless,413.2,143.2,Amazon Linux 2023.12.20260914,glibc,17.0.20.1+10-LTS,0,0,0,0,3/15,published image is a repository snapshot; upgrade with --releasever=latest
17,jre,3,glibc,corretto,al2023,updated,official,amazoncorretto:17-al2023-headless,413.2,143.2,Amazon Linux 2023.12.20260914,glibc,17.0.20.1+10-LTS,0,0,0,0,3/15,published image is a repository snapshot; upgrade with --releasever=latest
21,jdk,1,recommended,zulu,alpine,updated,official,azul-zulu:21-jdk-alpine3.23,330.5,166.9,Alpine Linux v3.23,musl,21.0.12.1+1-LTS,0,0,0,0,10/26,Azul pins Alpine 3.23 in the Docker Official Image; community builds have no published end-of-updates dates
21,jdk,2,runner-up,corretto,alpine,updated,official,amazoncorretto:21-alpine3.24-jdk,335.2,168.8,Alpine Linux v3.24,musl,21.0.12.1+9-LTS,0,0,0,0,10/26,no Corretto JRE on Alpine; OS package updates are the user's job
21,jdk,3,runner-up,redhat,ubi10-minimal,base,official,registry.access.redhat.com/ubi10/openjdk-21,378.5,141.7,Red Hat Enterprise Linux 10.2 (Coughlan),glibc,21.0.12.1+1-LTS,0,0,0,0,10/26,
21,jdk,4,runner-up,temurin,alpine,updated,official,eclipse-temurin:21-jdk-alpine-3.24,379.8,187.1,Alpine Linux v3.24,musl,21.0.12+8-LTS,0,0,0,0,10/26,official image lags the quarterly release by 2-5 weeks
21,jdk,5,runner-up,redhat,ubi10-minimal,updated,official,registry.access.redhat.com/ubi10/openjdk-21,405.5,150.7,Red Hat Enterprise Linux 10.2 (Coughlan),glibc,21.0.12.1+1-LTS,0,0,0,0,10/26,
21,jdk,3,glibc,redhat,ubi10-minimal,base,official,registry.access.redhat.com/ubi10/openjdk-21,378.5,141.7,Red Hat Enterprise Linux 10.2 (Coughlan),glibc,21.0.12.1+1-LTS,0,0,0,0,10/26,
21,jre,1,recommended,temurin,alpine,updated,official,eclipse-temurin:21-jre-alpine-3.24,223.1,77.5,Alpine Linux v3.24,musl,21.0.12+8-LTS,0,0,0,0,6/18,official image lags the quarterly release by 2-5 weeks
21,jre,2,runner-up,zulu,alpine,updated,official,azul-zulu:21-jre-alpine3.23,231.7,78.0,Alpine Linux v3.23,musl,21.0.12.1+1-LTS,0,0,0,0,6/18,Azul pins Alpine 3.23 in the Docker Official Image; community builds have no published end-of-updates dates
21,jre,3,runner-up,redhat,ubi10-minimal,base,official,registry.access.redhat.com/ubi10/openjdk-21-runtime,338.7,118.1,Red Hat Enterprise Linux 10.2 (Coughlan),glibc,21.0.12.1+1-LTS,0,0,0,0,6/18,
21,jre,4,runner-up,redhat,ubi10-minimal,updated,official,registry.access.redhat.com/ubi10/openjdk-21-runtime,363.5,126.2,Red Hat Enterprise Linux 10.2 (Coughlan),glibc,21.0.12.1+1-LTS,0,0,0,0,6/18,
21,jre,5,runner-up,corretto,al2023,updated,official,amazoncorretto:21-al2023-headless,433.8,150.0,Amazon Linux 2023.12.20260914,glibc,21.0.12.1+9-LTS,0,0,0,0,6/18,published image is a repository snapshot; upgrade with --releasever=latest
21,jre,3,glibc,redhat,ubi10-minimal,base,official,registry.access.redhat.com/ubi10/openjdk-21-runtime,338.7,118.1,Red Hat Enterprise Linux 10.2 (Coughlan),glibc,21.0.12.1+1-LTS,0,0,0,0,6/18,
25,jdk,1,recommended,temurin,alpine,updated,official,eclipse-temurin:25-jdk-alpine-3.24,319.0,113.3,Alpine Linux v3.24,musl,25.0.4+7-LTS,0,0,0,0,10/26,official image lags the quarterly release by 2-5 weeks
