vendor,java,os,flavor,variant,status,method,source,size_bytes,size_mb,compressed_bytes,compressed_mb,java_home_mb,os_id,os_version_id,os_pretty_name,libc,libc_version,java_version,java_runtime_version,java_vendor,java_vm_name,trivy_os,trivy_eosl,vuln_critical,vuln_high,vuln_medium,vuln_low,vuln_unknown,vuln_total,fixable_critical,fixable_high,fixable_medium,fixable_low,fixable_unknown,fixable_total,base_image,base_digest,built_at,build_seconds,trivy_version,trivy_db_updated,note
oracle,17,oraclelinux,jdk,base,ok,official,container-registry.oracle.com/java/openjdk:17,600694784,600.7,281404343,281.4,322.7,ol,8.5,Oracle Linux Server 8.5,glibc,2.28,17.0.2,17.0.2+8-86,Oracle Corporation,OpenJDK 64-Bit Server VM,oracle 8.5,False,0,203,307,21,0,531,0,203,307,21,0,531,container-registry.oracle.com/java/openjdk:17,container-registry.oracle.com/java/openjdk@sha256:854a4b5d81a6962f589c86e96f65500d9f1f151d7fbcb4bb0d90020f581bdfdb,2026-09-15T20:33:15+00:00,0,0.73.0,2026-09-15T07:08:16.463168542Z,
oracle,17,oraclelinux,jdk,updated,ok,official,container-registry.oracle.com/java/openjdk:17,1005989888,1006.0,425884110,425.9,322.7,ol,8.10,Oracle Linux Server 8.10,glibc,2.28,17.0.2,17.0.2+8-86,Oracle Corporation,OpenJDK 64-Bit Server VM,oracle 8.5,False,0,0,0,0,0,0,0,0,0,0,0,0,container-registry.oracle.com/java/openjdk:17,container-registry.oracle.com/java/openjdk@sha256:854a4b5d81a6962f589c86e96f65500d9f1f151d7fbcb4bb0d90020f581bdfdb,2026-09-15T20:34:14+00:00,59,0.73.0,2026-09-15T07:08:16.463168542Z,
oracle,17,oraclelinux,jre,,not-available,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oracle ships no JRE image
oracle,21,oraclelinux,jdk,base,ok,official,container-registry.oracle.com/java/openjdk:21,713216000,713.2,329971428,330.0,353.9,ol,8.9,Oracle Linux Server 8.9,glibc,2.28,21.0.2,21.0.2+13-58,Oracle Corporation,OpenJDK 64-Bit Server VM,oracle 8.9,False,0,158,178,7,0,343,0,158,178,7,0,343,container-registry.oracle.com/java/openjdk:21,container-registry.oracle.com/java/openjdk@sha256:a3c5cf87df06837d0a26f5ea48b6385e77e6b68dcbc828e60fbce1fe90020f41,2026-09-15T20:33:15+00:00,0,0.73.0,2026-09-15T07:08:16.463168542Z,
oracle,21,oraclelinux,jdk,updated,ok,official,container-registry.oracle.com/java/openjdk:21,1040994304,1041.0,449905751,449.9,353.9,ol,8.10,Oracle Linux Server 8.10,glibc,2.28,21.0.2,21.0.2+13-58,Oracle Corporation,OpenJDK 64-Bit Server VM,oracle 8.9,False,0,0,0,0,0,0,0,0,0,0,0,0,container-registry.oracle.com/java/openjdk:21,container-registry.oracle.com/java/openjdk@sha256:a3c5cf87df06837d0a26f5ea48b6385e77e6b68dcbc828e60fbce1fe90020f41,2026-09-15T20:34:07+00:00,52,0.73.0,2026-09-15T07:08:16.463168542Z,
oracle,21,oraclelinux,jre,,not-available,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oracle ships no JRE image
oracle,25,oraclelinux,jdk,base,ok,official,container-registry.oracle.com/java/openjdk:25,689504256,689.5,329560110,329.6,400.0,ol,9.7,Oracle Linux Server 9.7,glibc,2.34,25.0.2,25.0.2+10-69,Oracle Corporation,OpenJDK 64-Bit Server VM,oracle 9.7,False,0,148,146,3,0,297,0,148,146,3,0,297,container-registry.oracle.com/java/openjdk:25,container-registry.oracle.com/java/openjdk@sha256:58b0adaba794df5d37f04871b7e54c8245d947c11238af6a263f1a05c410e61e,2026-09-15T20:33:15+00:00,0,0.73.0,2026-09-15T07:08:16.463168542Z,
oracle,25,oraclelinux,jdk,updated,ok,official,container-registry.oracle.com/java/openjdk:25,951422976,951.4,428336308,428.3,400.0,ol,9.8,Oracle Linux Server 9.8,glibc,2.34,25.0.2,25.0.2+10-69,Oracle Corporation,OpenJDK 64-Bit Server VM,oracle 9.7,False,0,0,0,0,0,0,0,0,0,0,0,0,container-registry.oracle.com/java/openjdk:25,container-registry.oracle.com/java/openjdk@sha256:58b0adaba794df5d37f04871b7e54c8245d947c11238af6a263f1a05c410e61e,2026-09-15T20:33:54+00:00,40,0.73.0,2026-09-15T07:08:16.463168542Z,
oracle,25,oraclelinux,jre,,not-available,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oracle ships no JRE image
redhat,17,ubi9-minimal,jdk,base,ok,official,registry.access.redhat.com/ubi9/openjdk-17,429178880,429.2,153494673,153.5,216.4,rhel,9.8,Red Hat Enterprise Linux 9.8 (Plow),glibc,2.34,17.0.20.1,17.0.20.1+1-LTS,"Red Hat, Inc.",OpenJDK 64-Bit Server VM,redhat 9.8,False,0,10,178,91,0,279,0,0,1,0,0,1,registry.access.redhat.com/ubi9/openjdk-17,registry.access.redhat.com/ubi9/openjdk-17@sha256:1fce6c578ac43c3aee787ab2318b962fec675ac881dc0468ad7d63b717f14877,2026-09-15T20:33:15+00:00,0,0.73.0,2026-09-15T07:08:16.463168542Z,
